Province;Regency;Category;Name;Price;Rating;Jumlah Rating
Aceh;Kabupaten Aceh Tamiang;Alam;Gunung Pandan River Tourism Area;;4.1;190
Aceh;Kabupaten Aceh Tamiang;Sejarah;Istana Kerajaan Karang;;4.2;103
Aceh;Kabupaten Aceh Tamiang;Alam;Air Terjun Sangkapane;;4.4;45
Aceh;Kabupaten Aceh Tamiang;Alam;Air Terjun Gunung Pandan;;5.0;2
Aceh;Kabupaten Aceh Tamiang;Alam;Sungai Tamiang;;4.3;3
Aceh;Kabupaten Aceh Tamiang;Alam;Bukit Kerang;;3.6;13
Aceh;Kabupaten Aceh Tamiang;Alam;Pantai Pulau Rukui Alur Nunang;;3.0;14
Aceh;Kabupaten Aceh Tengah;Alam;Pantan Terong;;4.5;2965
Aceh;Kabupaten Aceh Tengah;Alam;Bur Telege  Takengon;;4.5;1088
Aceh;Kabupaten Aceh Tengah;Alam;Pante Menye;;4.4;732
Aceh;Kabupaten Aceh Tengah;Alam;Travel Rafting;;4.6;552
Aceh;Kabupaten Aceh Tengah;Alam;Kota Takengon;;4.7;218
Aceh;Kabupaten Aceh Tengah;Alam;Buntul Rintis;;4.2;683
Aceh;Kabupaten Aceh Tengah;Religi;Masjid Agung Ruhama Kota Takengon;;4.6;181
Aceh;Kabupaten Aceh Tengah;Alam;Burtelege Villa Gayo High Land;;4.6;97
Aceh;Kabupaten Aceh Tengah;Alam;Air Terjun Mengaya;;4.4;152
Aceh;Kabupaten Aceh Tengah;Alam;Ujung Nunang;;4.3;149
Aceh;Kabupaten Aceh Tengah;Alam;Lancuk Leweng;;4.4;88
Aceh;Kabupaten Aceh Tengah;Alam;Dermaga Takengon;;4.1;410
Aceh;Kabupaten Aceh Tengah;Alam;Putri Pukes Cave;;4.1;267
Aceh;Kabupaten Aceh Tengah;Alam;Tambatan Perahu Lot Kala;;4.2;133
Aceh;Kabupaten Aceh Tengah;Pendidikan;Umah Pitu Ruang;;4.3;38
Aceh;Kabupaten Aceh Tengah;Alam;Danau Laut Tawar Aceh Tengah;;4.6;8
Aceh;Kabupaten Aceh Tengah;Alam;Loyang Mendale;;4.2;38
Aceh;Kabupaten Aceh Tengah;Alam;Goa Loyang Koro;;4.0;157
Aceh;Kabupaten Aceh Tengah;Alam;Lake Laut Tawar;;4.5;274
Aceh;Kabupaten Aceh Tengah;Pendidikan;Museum Gayo;;4.0;84
Aceh;Kabupaten Aceh Tengah;Alam;Gunung Singgah Mata;;4.9;9
Aceh;Kabupaten Aceh Tengah;Alam;Burni Dedamar;;4.9;7
Aceh;Kabupaten Aceh Tengah;Alam;Natural park takengon;;3.9;94
Aceh;Kabupaten Aceh Tenggara;Religi;Masjid Agung AtTaqwa;;4.8;525
Aceh;Kabupaten Aceh Tenggara;Alam;Mount Leuser National Park;;4.5;202
Aceh;Kabupaten Aceh Tenggara;Alam;Ketambe Trek & Orangutan Explore;;4.3;58
Aceh;Kabupaten Aceh Timur;Alam;Pantai Leuge;;4.2;381
Aceh;Kabupaten Aceh Timur;Alam;Pantai pelangi matang Rayeuk pp;;4.1;143
Aceh;Kabupaten Aceh Timur;Alam;Pantai Matang Rayeuk;;4.3;12
Aceh;Kabupaten Aceh Timur;Alam;Air Terjun Terujak;;4.2;5
Aceh;Kabupaten Aceh Timur;Alam;Pantai Peudawa;;4.2;57
Aceh;Kabupaten Aceh Utara;Religi;Masjid Raya Pase Kota Panton Labu;;4.7;462
Aceh;Kabupaten Aceh Utara;Alam;Air Terjun Blang Kolam;;4.2;395
Aceh;Kabupaten Aceh Utara;Religi;Museum Islam Samudra Pasai;;4.2;234
Aceh;Kabupaten Aceh Utara;Alam;Krueng Tuan. Nisam Antara;;4.1;237
Aceh;Kabupaten Aceh Utara;Alam;KRUENG SAWEUK;;4.2;111
Aceh;Kabupaten Aceh Utara;Pendidikan;House of Cut Meutia at North Aceh;;5.0;14
Aceh;Kabupaten Aceh Utara;Alam;Wisata Lhok Seulayang;;4.1;75
Aceh;Kabupaten Aceh Utara;Alam;Pantai Ulee Rubek. (Seunuddon);;4.0;176
Aceh;Kabupaten Aceh Utara;Alam;Pantai Ungu Lhok Puuk seunudon Aceh Utara;;4.0;150
Aceh;Kabupaten Aceh Utara;Alam;Air Terjun Rayap;;4.0;169
Aceh;Kabupaten Aceh Utara;Alam;Pantai Bangka Jaya;;4.0;137
Aceh;Kabupaten Aceh Utara;Alam;Gunung Salak;;4.1;248
Aceh;Kabupaten Aceh Utara;Alam;Pantai Lancok;;3.9;657
Aceh;Kabupaten Aceh Utara;Alam;Pantai Sawang;;3.7;32
Aceh;Kabupaten Bener Meriah;Alam;Burni Telong;;4.9;14
Aceh;Kabupaten Bener Meriah;Alam;Air Terjun Tansaran Bidin;;4.5;130
Aceh;Kabupaten Bener Meriah;Alam;Geureudong;;4.3;20
Aceh;Kabupaten Bener Meriah;Alam;Waterfall 7 Angels;;4.4;159
Aceh;Kabupaten Bener Meriah;Alam;Air Terjun Berawang Tampu;;4.7;7
Aceh;Kabupaten Bener Meriah;Alam;Niagara Reje Ilang;;4.4;104
Aceh;Kabupaten Bener Meriah;Alam;Burni Telong;;4.7;89
Aceh;Kabupaten Bener Meriah;Alam;Wisata Pemandian Air Panas;;3.9;476
Aceh;Kabupaten Bener Meriah;Alam;Taman Batu Lepes;;4.1;33
Aceh;Kabupaten Bener Meriah;Alam;Jembatan Enangenang;;4.3;38
Aceh;Kabupaten Bireuen;Pendidikan;Cot Panglima;;4.3;144
Aceh;Kabupaten Bireuen;Alam;Air Terjun Ie Rhop;;4.5;36
Aceh;Kabupaten Bireuen;Alam;Pantai Ujong Blang Bireuen;;4.0;408
Aceh;Kabupaten Bireuen;Alam;Pantai Cemara Lingka Kuta;;4.0;207
Aceh;Kabupaten Bireuen;Alam;Wisata Krueng Simpo;;3.9;17
Aceh;Kabupaten Bireuen;Alam;Laut jangka;;3.9;7
